iot.id,name,description,Datastreams
6502b661692d9156bfda66ee,CM1-LS-134-C1,ปากแจ้งวัฒนะ 10 แยก 3-CAM1,
6502b665692d9156bfda66f5,CM1-LS-134-C2,ปากแจ้งวัฒนะ 10 แยก 3-CAM2,
6502b669692d9156bfda66fc,CM1-LS-134-C3,ปากแจ้งวัฒนะ 10 แยก 3-CAM3,
6502b66e692d9156bfda6703,CM1-LS-134-C4,ปากแจ้งวัฒนะ 10 แยก 3-CAM4,
6502b673692d9156bfda670a,CM1-LS-180-C1,หน้าอาคารศาลปกครอง ถนนแจ้งวัฒนะ ขาออก-CAM1,
6502b676692d9156bfda6711,CM1-LS-180-C2,หน้าอาคารศาลปกครอง ถนนแจ้งวัฒนะ ขาออก-CAM2,
6502b67b692d9156bfda6718,CM1-LS-180-C3,หน้าอาคารศาลปกครอง ถนนแจ้งวัฒนะ ขาออก-CAM3,
6502b681692d9156bfda671f,CM1-LS-180-C4,หน้าอาคารศาลปกครอง ถนนแจ้งวัฒนะ ขาออก-CAM4,
6502b688692d9156bfda6726,CM1-LS-23-C1,ปากแจ้งวัฒนะ14-CAM1,
6502b68c692d9156bfda672d,CM1-LS-23-C2,ปากแจ้งวัฒนะ14-CAM2,
6502b690692d9156bfda6734,CM1-LS-23-C3,ปากแจ้งวัฒนะ14-CAM3,
6502b694692d9156bfda673b,CM1-LS-23-C4,ปากแจ้งวัฒนะ14-CAM4,
6502b6ab692d9156bfda675e,CM1-LS-29-C1,ปากทางเข้าแฟลตพงษ์เพชร หลักสี่-CAM1,
6502b6af692d9156bfda6765,CM1-LS-29-C2,ปากทางเข้าแฟลตพงษ์เพชร หลักสี่-CAM2,
6502b6b4692d9156bfda676c,CM1-LS-29-C3,ปากทางเข้าแฟลตพงษ์เพชร หลักสี่-CAM3,
6502b6b8692d9156bfda6773,CM1-LS-29-C4,ปากทางเข้าแฟลตพงษ์เพชร หลักสี่-CAM4,
65b06e34b097e09ad2bfd4a0,CM1-PY-082-C01,23. ปากซอยพหลโยธิน 3-CAM1,
65b06e36b097e09ad2bfd4a7,CM1-PY-082-C02,23. ปากซอยพหลโยธิน 3-CAM2,
65b06e39b097e09ad2bfd4ae,CM1-PY-082-C01,23. ปากซอยพหลโยธิน 3-CAM1,
